Semester,Batch,Program,Course Code,Course Title,Credits (Theory + Lab),Prerequisite
1,22,SE,CL 1001,Introduction to ICT,0+1,None
1,22,SE,CS 1002,Programming Fundamentals,3+1,None
1,22,SE,MT 1003,Calculus & Analytical Geometry,3+0,None
1,22,SE,NS 1001,Applied Physics,3+0,None
1,22,SE,SS 1003,Pakistan Studies,3+0,None
1,22,SE,SS 1004,English Composition & Comprehension,2+1,None
2,22,SE,CS 1004,Object-Oriented Programming,3+1,CS 1002 Programming Fundamentals
2,22,SE,CS 1005,Discrete Structures,3+0,None
2,22,SE,SE 1001,Introduction to Software Engineering,3+0,None
2,22,SE,SS 1008,Communication & Presentation Skills,2+1,None
2,22,SE,SS 1002,Islamic Studies/Ethics,3+0,None
3,22,SE,CS 2001,Data Structures,3+1,CS 1004 Object-Oriented Programming
3,22,SE,CS 2007,Human Computer Interaction,3+0,SE 1001 Introduction to Software Engineering
3,22,SE,MT 1004,Linear Algebra,3+0,None
3,22,SE,SE 2001,Software Requirements Engineering,3+0,SE 1001 Introduction to Software Engineering
3,22,SE,SS/MG Elective 1,University Elective-1,3+0,None
4,22,SE,CS 2005,Database Systems,3+1,CS 2001 Data Structures
4,22,SE,MT 2005,Probability & Statistics,3+0,None
4,22,SE,SE 2002,Software Design & Architecture,3+1,CS 1004 Object-Oriented Programming
4,22,SE,SE Supporting-1,SE Supporting Course-1,3+0,None
4,22,SE,SS/MG Elective 2,University Elective-2,3+0,None
5,22,SE,CS 2006,Operating Systems,3+1,CS 2001 Data Structures
5,22,SE,SE 3001,Software Construction & Development,3+1,SE 2002 Software Design & Architecture
5,22,SE,SE 3002,Software Quality Engineering,3+0,SE 1001 Introduction to Software Engineering
5,22,SE,SS 2007,Technical & Business Writing,3+0,SS 1008 Communication & Presentation Skills
5,22,SE,SE Supporting-2,SE Supporting Course-2,3+0,None
6,22,SE,CS 2009,Design and Analysis of Algorithms,3+0,CS 2001 Data Structures
6,22,SE,CS 3001,Computer Networks,3+1,CS 2001 Data Structures
6,22,SE,SE 3003,Web Engineering,3+1,None
6,22,SE,SE Elective-1,SE Elective - I,3+0,None
6,22,SE,SE Supporting-3,SE Supporting Course-3,3+0,None
7,22,SE,CS 3002,Information Security,3+0,None
7,22,SE,CS 4001,Professional Practices,3+0,None
7,22,SE,SE 4003,Fundamentals of Software Project Management,3+0,SE 2001 Software Requirements Engineering
7,22,SE,SE 4091,Final Year Project - I,0+3,Note 1
7,22,SE,SE Elective-2,SE Elective - II,3+0,None
8,22,SE,SE 4001,Software Re-Engineering,3+0,SE 2001 Software Requirements Engineering
8,22,SE,SE 4092,Final Year Project - II,0+3,SE 4091 Final Year Project - I
8,22,SE,SE Elective-3,SE Elective - III,3+0,None
8,22,SE,SE Elective-4,SE Elective - IV,3+0,None
8,22,SE,SS/MG Elective 3,University Elective-3,3+0,None
